rank,name,points,bestPoints,RankingDate
14,Alex De Minaur,2067,2083,14-08-2023
15,Taylor Fritz,2062,2134,14-08-2023
16,Grigor Dimitrov,2047,2203,14-08-2023
17,Frances Tiafoe,2036,2068,14-08-2023
18,Hubert Hurkacz,2031,2099,14-08-2023
19,Tommy Paul,2018,2066,14-08-2023
20,Marin Cilic,2011,2232,14-08-2023
21,Sebastian Korda,2003,2071,14-08-2023
22,Cameron Norrie,2002,2105,14-08-2023
23,Lorenzo Musetti,1996,1999,14-08-2023
24,Felix Auger Aliassime,1995,2140,14-08-2023
25,Gael Monfils,1989,2189,14-08-2023
26,Alejandro Davidovich Fokina,1986,1998,14-08-2023
27,Francisco Cerundolo,1985,2014,14-08-2023
28,Pablo Carreno Busta,1982,2121,14-08-2023
29,Stan Wawrinka,1978,2291,14-08-2023
30,Andy Murray,1975,2500,14-08-2023
31,Kei Nishikori,1972,2296,14-08-2023
32,Milos Raonic,1969,2269,14-08-2023
33,Jan Lennard Struff,1963,2037,14-08-2023
34,Nicolas Jarry,1962,1992,14-08-2023
35,Denis Shapovalov,1960,2075,14-08-2023
36,Jiri Lehecka,1957,1962,14-08-2023
37,Tallon Griekspoor,1955,1961,14-08-2023
38,Marton Fucsovics,1950,2018,14-08-2023
39,Alexander Bublik,1950,1968,14-08-2023
40,Borna Coric,1947,2102,14-08-2023
41,Jack Draper,1946,1977,14-08-2023
42,Jenson Brooksby,1944,1984,14-08-2023
43,Dominic Thiem,1936,2250,14-08-2023
44,Roberto Bautista Agut,1930,2135,14-08-2023
45,Laslo Djere,1930,1945,14-08-2023
46,Adrian Mannarino,1926,2004,14-08-2023
47,Lorenzo Sonego,1925,1996,14-08-2023
48,Christian Garin,1917,2010,14-08-2023
49,Mackenzie Mcdonald,1916,1944,14-08-2023
50,Christopher Eubanks,1911,1932,14-08-2023
51,Emil Ruusuvuori,1910,1963,14-08-2023
52,Thanasi Kokkinakis,1908,1914,14-08-2023
53,Daniel Evans,1901,2002,14-08-2023
54,Botic Van De Zandschulp,1900,1998,14-08-2023
55,Jeffrey John Wolf,1896,1926,14-08-2023
56,Soon Woo Kwon,1896,1929,14-08-2023
57,Roman Safiullin,1892,1940,14-08-2023
58,Alex Molcan,1890,1941,14-08-2023
59,Yannick Hanfmann,1889,1920,14-08-2023
60,Tomas Martin Etcheverry,1889,1932,14-08-2023
61,Ugo Humbert,1887,2002,14-08-2023
62,Yoshihito Nishioka,1884,1977,14-08-2023
63,Ilya Ivashka,1884,1987,14-08-2023
64,John Isner,1883,2147,14-08-2023
65,Kevin Anderson,1883,2181,14-08-2023
66,Arthur Fils,1876,1895,14-08-2023
67,Jordan Thompson,1876,1908,14-08-2023
68,Sebastian Baez,1871,1944,14-08-2023
69,Mikael Ymer,1871,1938,14-08-2023
70,Roberto Carballes Baena,1870,1886,14-08-2023
71,Marcos Giron,1868,1934,14-08-2023
72,Alexei Popyrin,1868,1916,14-08-2023
73,Diego Sebastian Schwartzman,1863,2097,14-08-2023
74,Pedro Cachin,1861,1870,14-08-2023
75,Jeremy Chardy,1860,2016,14-08-2023
76,Gilles Simon,1860,2124,14-08-2023
77,David Goffin,1858,2165,14-08-2023
78,Gregoire Barrere,1858,1873,14-08-2023
79,Vasek Pospisil,1857,1987,14-08-2023
80,Aslan Karatsev,1856,1998,14-08-2023
81,Brandon Nakashima,1855,1958,14-08-2023
82,Miomir Kecmanovic,1854,1977,14-08-2023
83,Quentin Halys,1844,1844,14-08-2023
84,Dusan Lajovic,1843,1962,14-08-2023
85,Sebastian Ofner,1839,1871,14-08-2023
86,Dominik Koepfer,1836,1920,14-08-2023
87,Fabio Fognini,1835,2112,14-08-2023
88,Jack Sock,1835,2144,14-08-2023
89,Lloyd George Muirhead Harris,1835,1988,14-08-2023
90,Taro Daniel,1835,1882,14-08-2023
91,Richard Gasquet,1832,2196,14-08-2023
92,Benjamin Bonzi,1830,1893,14-08-2023
93,Filip Krajinovic,1829,2033,14-08-2023
94,Aleksandar Vukic,1828,1828,14-08-2023
95,Corentin Moutet,1827,1921,14-08-2023
96,Jason Kubler,1827,1880,14-08-2023
97,Jaume Munar,1826,1866,14-08-2023
98,Christopher Oconnell,1823,1854,14-08-2023
99,Steve Johnson,1823,2042,14-08-2023
100,Jiri Vesely,1822,1952,14-08-2023
101,John Millman,1822,1954,14-08-2023
102,Zhizhen Zhang,1821,1890,14-08-2023
103,Yibing Wu,1821,1850,14-08-2023
104,Matteo Arnaldi,1821,1889,14-08-2023
105,Michael Mmoh,1820,1866,14-08-2023
106,Juan Pablo Varillas Patino Samudio,1819,1845,14-08-2023
107,Yosuke Watanuki,1819,1819,14-08-2023
108,Liam Broady,1818,1822,14-08-2023
109,Arthur Rinderknech,1816,1909,14-08-2023
110,Guido Pella,1816,2009,14-08-2023
111,Tim Van Rijthoven,1812,1870,14-08-2023
112,Filip Misolic,1811,1828,14-08-2023
113,Alejandro Tabilo,1810,1834,14-08-2023
114,Daniel Altmaier,1808,1826,14-08-2023
115,Gijs Brouwer,1808,1844,14-08-2023
116,Alexander Shevchenko,1806,1841,14-08-2023
117,Dominic Stephan Stricker,1804,1873,14-08-2023
118,Daniel Elahi Galan Riveros,1803,1871,14-08-2023
119,Bernabe Zapata Miralles,1800,1876,14-08-2023
120,Ryan Peniston,1798,1825,14-08-2023
121,Maximilian Marterer,1795,1888,14-08-2023
122,Radu Albot,1791,1936,14-08-2023
123,Albert Ramos,1790,2014,14-08-2023
124,Alexandre Muller,1789,1814,14-08-2023
125,Damir Dzumhur,1787,1994,14-08-2023
126,Kyle Edmund,1786,2038,14-08-2023
127,Kamil Majchrzak,1786,1810,14-08-2023
128,Marco Cecchinato,1786,1953,14-08-2023
129,Tomas Machac,1784,1806,14-08-2023
130,Pavel Kotov,1782,1849,14-08-2023
131,Ben Shelton,1778,1989,14-08-2023
132,Hugo Gaston,1777,1891,14-08-2023
133,James Duckworth,1776,1887,14-08-2023
134,Rinky Hijikata,1770,1837,14-08-2023
135,Aleksandar Kovacevic,1769,1769,14-08-2023
136,Luca Van Assche,1768,1778,14-08-2023
137,Thiago Seyboth Wild,1768,1804,14-08-2023
138,Federico Coria,1765,1839,14-08-2023
139,Nuno Borges,1764,1785,14-08-2023
140,Thiago Monteiro,1764,1846,14-08-2023
141,Borna Gojo,1763,1856,14-08-2023
142,Federico Delbonis,1758,1953,14-08-2023
143,Maxime Cressy,1756,1928,14-08-2023
144,Andrea Vavassori,1755,1765,14-08-2023
145,Jozef Kovalik,1753,1806,14-08-2023
146,Pablo Andujar,1750,1929,14-08-2023
147,Peter Gojowczyk,1748,1935,14-08-2023
148,Denis Kudla,1748,1855,14-08-2023
149,Nikoloz Basilashvili,1747,1990,14-08-2023
150,Elias Ymer,1737,1817,14-08-2023
151,Oscar Otte,1735,1917,14-08-2023
152,Juncheng Shang,1734,1734,14-08-2023
153,Dimitar Kuzmanov,1732,1733,14-08-2023
154,Antoine Bellier,1731,1743,14-08-2023
155,Jurij Rodionov,1730,1790,14-08-2023
156,Giulio Zeppieri,1726,1726,14-08-2023
157,Hugo Grenier,1726,1753,14-08-2023
158,Flavio Cobolli,1726,1726,14-08-2023
159,Joao Sousa,1719,1974,14-08-2023
160,Juan Manuel Cerundolo,1717,1807,14-08-2023
161,Mikhail Kukushkin,1710,1943,14-08-2023
162,Feliciano Lopez,1710,2074,14-08-2023
163,Max Purcell,1705,1834,14-08-2023
164,Hamad Medjedovic,1703,1777,14-08-2023
165,Pedro Martinez Portero,1700,1926,14-08-2023
166,Guido Andreozzi,1697,1740,14-08-2023
167,Hugo Dellien,1693,1781,14-08-2023
168,Constant Lestienne,1692,1833,14-08-2023
169,Emilio Gomez,1691,1744,14-08-2023
170,Marcelo Tomas Barrios Vera,1689,1704,14-08-2023
171,Fernando Verdasco,1687,2204,14-08-2023
172,Jason Jung,1684,1778,14-08-2023
173,Facundo Bagnis,1683,1804,14-08-2023
174,Zizou Bergs,1675,1675,14-08-2023
175,Emilio Nava,1674,1709,14-08-2023
176,Marc Andrea Huesler,1672,1849,14-08-2023
177,Francesco Passaro,1671,1671,14-08-2023
178,Dennis Novak,1659,1802,14-08-2023
179,Alexandar Lazarov,1620,1620,14-08-2023
180,Luca Nardi,1601,1619,14-08-2023
181,Benoit Paire,1567,2003,14-08-2023
182,Chun Hsin Tseng,1566,1660,14-08-2023
1,Novak Djokovic,2405,2629,07-08-2023
2,Carlos Alcaraz Garfia,2344,2344,07-08-2023
3,Rafael Nadal,2259,2552,07-08-2023
4,Daniil Medvedev,2241,2316,07-08-2023
5,Stefanos Tsitsipas,2155,2258,07-08-2023
6,Andrey Rublev,2154,2227,07-08-2023
7,Holger Vitus Nodskov Rune,2146,2146,07-08-2023
8,Alexander Zverev,2142,2303,07-08-2023
9,Jannik Sinner,2142,2256,07-08-2023
10,Nick Kyrgios,2136,2176,07-08-2023
11,Matteo Berrettini,2099,2173,07-08-2023
12,Karen Khachanov,2094,2137,07-08-2023
13,Casper Ruud,2084,2163,07-08-2023
14,Taylor Fritz,2068,2134,07-08-2023
15,Frances Tiafoe,2048,2068,07-08-2023
16,Grigor Dimitrov,2047,2203,07-08-2023
17,Alex De Minaur,2028,2083,07-08-2023
18,Hubert Hurkacz,2021,2099,07-08-2023
19,Felix Auger Aliassime,2012,2140,07-08-2023
20,Sebastian Korda,2012,2071,07-08-2023
21,Marin Cilic,2011,2232,07-08-2023
22,Cameron Norrie,2011,2105,07-08-2023
23,Francisco Cerundolo,1992,2014,07-08-2023
24,Lorenzo Musetti,1984,1999,07-08-2023
25,Pablo Carreno Busta,1982,2121,07-08-2023
26,Tommy Paul,1982,2066,07-08-2023
27,Stan Wawrinka,1978,2291,07-08-2023
28,Nicolas Jarry,1975,1992,07-08-2023
29,Kei Nishikori,1972,2296,07-08-2023
30,Andy Murray,1965,2500,07-08-2023
31,Gael Monfils,1965,2189,07-08-2023
32,Jan Lennard Struff,1963,2037,07-08-2023
33,Milos Raonic,1963,2269,07-08-2023
34,Borna Coric,1962,2102,07-08-2023
35,Tallon Griekspoor,1961,1961,07-08-2023
36,Denis Shapovalov,1960,2075,07-08-2023
37,Alexander Bublik,1958,1968,07-08-2023
38,Jiri Lehecka,1957,1962,07-08-2023
39,Marton Fucsovics,1950,2018,07-08-2023
40,Jack Draper,1947,1977,07-08-2023
41,Alejandro Davidovich Fokina,1946,1998,07-08-2023
42,Jenson Brooksby,1944,1984,07-08-2023
43,Adrian Mannarino,1940,2004,07-08-2023
44,Dominic Thiem,1936,2250,07-08-2023
45,Lorenzo Sonego,1934,1996,07-08-2023
46,Roberto Bautista Agut,1930,2135,07-08-2023
47,Christian Garin,1930,2010,07-08-2023
48,Laslo Djere,1930,1945,07-08-2023
49,Emil Ruusuvuori,1923,1963,07-08-2023
50,Christopher Eubanks,1920,1932,07-08-2023
51,Daniel Evans,1919,2002,07-08-2023
52,Thanasi Kokkinakis,1908,1914,07-08-2023
53,Jeffrey John Wolf,1906,1926,07-08-2023
54,Botic Van De Zandschulp,1900,1998,07-08-2023
55,Tomas Martin Etcheverry,1897,1932,07-08-2023
56,Soon Woo Kwon,1896,1929,07-08-2023
57,Yoshihito Nishioka,1893,1977,07-08-2023
58,Roman Safiullin,1892,1940,07-08-2023
59,Alex Molcan,1890,1941,07-08-2023
60,Yannick Hanfmann,1889,1920,07-08-2023
61,Ilya Ivashka,1884,1987,07-08-2023
62,John Isner,1883,2147,07-08-2023
63,Kevin Anderson,1883,2181,07-08-2023
64,Mackenzie Mcdonald,1881,1944,07-08-2023
65,Ugo Humbert,1878,2002,07-08-2023
66,Arthur Fils,1876,1895,07-08-2023
67,Jordan Thompson,1876,1908,07-08-2023
68,Vasek Pospisil,1871,1987,07-08-2023
69,Diego Sebastian Schwartzman,1871,2097,07-08-2023
70,Sebastian Baez,1871,1944,07-08-2023
71,Mikael Ymer,1871,1938,07-08-2023
72,Roberto Carballes Baena,1870,1886,07-08-2023
73,Aslan Karatsev,1868,1998,07-08-2023
74,Alexei Popyrin,1868,1916,07-08-2023
75,Brandon Nakashima,1864,1958,07-08-2023
76,Gregoire Barrere,1863,1873,07-08-2023
77,Pedro Cachin,1861,1870,07-08-2023
78,Gilles Simon,1860,2124,07-08-2023
79,Jeremy Chardy,1860,2016,07-08-2023
80,David Goffin,1858,2165,07-08-2023
81,Miomir Kecmanovic,1846,1977,07-08-2023
82,Quentin Halys,1844,1844,07-08-2023
83,Dusan Lajovic,1843,1962,07-08-2023
84,Sebastian Ofner,1839,1871,07-08-2023
85,Marcos Giron,1837,1934,07-08-2023
86,Dominik Koepfer,1836,1920,07-08-2023
87,Fabio Fognini,1835,2112,07-08-2023
88,Jack Sock,1835,2144,07-08-2023
89,Lloyd George Muirhead Harris,1835,1988,07-08-2023
90,Richard Gasquet,1832,2196,07-08-2023
91,Zhizhen Zhang,1832,1890,07-08-2023
92,Benjamin Bonzi,1830,1893,07-08-2023
93,Filip Krajinovic,1829,2033,07-08-2023
94,Corentin Moutet,1827,1921,07-08-2023
95,Jason Kubler,1827,1880,07-08-2023
96,Jaume Munar,1826,1866,07-08-2023
97,Taro Daniel,1825,1882,07-08-2023
98,Christopher Oconnell,1823,1854,07-08-2023
99,Steve Johnson,1823,2042,07-08-2023
100,Jiri Vesely,1822,1952,07-08-2023
101,John Millman,1822,1954,07-08-2023
102,Yibing Wu,1821,1850,07-08-2023
103,Michael Mmoh,1820,1866,07-08-2023
104,Juan Pablo Varillas Patino Samudio,1819,1845,07-08-2023
105,Yosuke Watanuki,1819,1819,07-08-2023
106,Liam Broady,1818,1822,07-08-2023
107,Bernabe Zapata Miralles,1816,1876,07-08-2023
108,Ricardas Berankis,1816,1914,07-08-2023
109,Arthur Rinderknech,1816,1909,07-08-2023
110,Guido Pella,1816,2009,07-08-2023
111,Tim Van Rijthoven,1812,1870,07-08-2023
112,Filip Misolic,1811,1828,07-08-2023
113,Alejandro Tabilo,1810,1834,07-08-2023
114,Daniel Altmaier,1808,1826,07-08-2023
115,Gijs Brouwer,1808,1844,07-08-2023
116,Matteo Arnaldi,1806,1889,07-08-2023
117,Alexander Shevchenko,1806,1841,07-08-2023
118,Dominic Stephan Stricker,1804,1873,07-08-2023
119,Daniel Elahi Galan Riveros,1803,1871,07-08-2023
120,Ryan Peniston,1798,1825,07-08-2023
121,Maximilian Marterer,1795,1888,07-08-2023
122,Radu Albot,1791,1936,07-08-2023
123,Aleksandar Vukic,1790,1828,07-08-2023
124,Albert Ramos,1790,2014,07-08-2023
125,Alexandre Muller,1789,1814,07-08-2023
126,Damir Dzumhur,1787,1994,07-08-2023
127,Kyle Edmund,1786,2038,07-08-2023
128,Kamil Majchrzak,1786,1810,07-08-2023
129,Marco Cecchinato,1786,1953,07-08-2023
130,Tomas Machac,1784,1806,07-08-2023
131,Pavel Kotov,1782,1849,07-08-2023
132,Hugo Gaston,1777,1891,07-08-2023
133,James Duckworth,1776,1887,07-08-2023
134,Rinky Hijikata,1770,1837,07-08-2023
135,Aleksandar Kovacevic,1769,1769,07-08-2023
136,Luca Van Assche,1768,1778,07-08-2023
137,Thiago Seyboth Wild,1768,1804,07-08-2023
138,Federico Coria,1765,1839,07-08-2023
139,Nuno Borges,1764,1785,07-08-2023
140,Thiago Monteiro,1764,1846,07-08-2023
141,Borna Gojo,1763,1856,07-08-2023
142,Ben Shelton,1758,1989,07-08-2023
143,Federico Delbonis,1758,1953,07-08-2023
144,Maxime Cressy,1756,1928,07-08-2023
145,Andrea Vavassori,1755,1765,07-08-2023
146,Jozef Kovalik,1753,1806,07-08-2023
147,Pablo Andujar,1750,1929,07-08-2023
148,Peter Gojowczyk,1749,1935,07-08-2023
149,Denis Kudla,1748,1855,07-08-2023
150,Nikoloz Basilashvili,1747,1990,07-08-2023
151,Elias Ymer,1737,1817,07-08-2023
152,Oscar Otte,1735,1917,07-08-2023
153,Juncheng Shang,1734,1734,07-08-2023
154,Dimitar Kuzmanov,1732,1733,07-08-2023
155,Antoine Bellier,1731,1743,07-08-2023
156,Jurij Rodionov,1730,1790,07-08-2023
157,Giulio Zeppieri,1726,1726,07-08-2023
158,Hugo Grenier,1726,1753,07-08-2023
159,Flavio Cobolli,1726,1726,07-08-2023
160,Henri Laaksonen,1720,1852,07-08-2023
161,Joao Sousa,1719,1974,07-08-2023
162,Juan Manuel Cerundolo,1717,1807,07-08-2023
163,Ernesto Escobedo,1712,1815,07-08-2023
164,Stefan Kozlov,1712,1764,07-08-2023
165,Mikhail Kukushkin,1710,1943,07-08-2023
166,Feliciano Lopez,1710,2074,07-08-2023
167,Hamad Medjedovic,1703,1777,07-08-2023
168,Pedro Martinez Portero,1700,1926,07-08-2023
169,Guido Andreozzi,1697,1740,07-08-2023
170,Hugo Dellien,1693,1781,07-08-2023
171,Constant Lestienne,1692,1833,07-08-2023
172,Emilio Gomez,1691,1744,07-08-2023
173,Marcelo Tomas Barrios Vera,1689,1704,07-08-2023
174,Fernando Verdasco,1687,2204,07-08-2023
175,Jason Jung,1684,1778,07-08-2023
176,Facundo Bagnis,1683,1804,07-08-2023
177,Zizou Bergs,1675,1675,07-08-2023
178,Emilio Nava,1674,1709,07-08-2023
179,Marc Andrea Huesler,1672,1849,07-08-2023
180,Francesco Passaro,1671,1671,07-08-2023
181,Dennis Novak,1659,1802,07-08-2023
182,Max Purcell,1650,1834,07-08-2023
183,Alexandar Lazarov,1620,1620,07-08-2023
184,Luca Nardi,1601,1619,07-08-2023
185,Benoit Paire,1567,2003,07-08-2023
186,Chun Hsin Tseng,1566,1660,07-08-2023
1,Novak Djokovic,2405,2629,31-07-2023
2,Carlos Alcaraz Garfia,2344,2344,31-07-2023
3,Rafael Nadal,2259,2552,31-07-2023
4,Daniil Medvedev,2241,2316,31-07-2023
5,Andrey Rublev,2154,2227,31-07-2023
6,Holger Vitus Nodskov Rune,2146,2146,31-07-2023
7,Alexander Zverev,2142,2303,31-07-2023
8,Jannik Sinner,2142,2256,31-07-2023
9,Nick Kyrgios,2137,2176,31-07-2023
10,Stefanos Tsitsipas,2135,2258,31-07-2023
11,Matteo Berrettini,2099,2173,31-07-2023
12,Karen Khachanov,2094,2137,31-07-2023
13,Casper Ruud,2084,2163,31-07-2023
14,Taylor Fritz,2069,2134,31-07-2023
15,Frances Tiafoe,2056,2068,31-07-2023
16,Grigor Dimitrov,2048,2203,31-07-2023
17,Hubert Hurkacz,2035,2099,31-07-2023
18,Sebastian Korda,2027,2071,31-07-2023
19,Felix Auger Aliassime,2026,2140,31-07-2023
20,Cameron Norrie,2025,2105,31-07-2023
21,Alex De Minaur,2019,2083,31-07-2023
22,Marin Cilic,2011,2232,31-07-2023
23,Francisco Cerundolo,1992,2014,31-07-2023
24,Tommy Paul,1987,2066,31-07-2023
25,Lorenzo Musetti,1984,1999,31-07-2023
26,Pablo Carreno Busta,1983,2121,31-07-2023
27,Stan Wawrinka,1978,2291,31-07-2023
28,Nicolas Jarry,1974,1992,31-07-2023
29,Kei Nishikori,1972,2296,31-07-2023
30,Alexander Bublik,1968,1968,31-07-2023
31,Andy Murray,1965,2500,31-07-2023
32,Jan Lennard Struff,1963,2037,31-07-2023
33,Milos Raonic,1963,2269,31-07-2023
34,Gael Monfils,1961,2189,31-07-2023
35,Denis Shapovalov,1960,2075,31-07-2023
36,Borna Coric,1957,2102,31-07-2023
37,Jiri Lehecka,1957,1962,31-07-2023
38,Adrian Mannarino,1952,2004,31-07-2023
39,Marton Fucsovics,1950,2018,31-07-2023
40,Jack Draper,1947,1977,31-07-2023
41,Alejandro Davidovich Fokina,1946,1998,31-07-2023
42,Jenson Brooksby,1944,1984,31-07-2023
43,Christian Garin,1944,2010,31-07-2023
44,Lorenzo Sonego,1934,1996,31-07-2023
45,Tallon Griekspoor,1933,1961,31-07-2023
46,Roberto Bautista Agut,1930,2135,31-07-2023
47,Christopher Eubanks,1928,1932,31-07-2023
48,Dominic Thiem,1923,2250,31-07-2023
49,Laslo Djere,1919,1945,31-07-2023
50,Emil Ruusuvuori,1916,1963,31-07-2023
51,Thanasi Kokkinakis,1913,1914,31-07-2023
52,Yoshihito Nishioka,1903,1977,31-07-2023
53,Yannick Hanfmann,1902,1920,31-07-2023
54,Jeffrey John Wolf,1900,1926,31-07-2023
55,Botic Van De Zandschulp,1900,1998,31-07-2023
56,Tomas Martin Etcheverry,1897,1932,31-07-2023
57,Soon Woo Kwon,1896,1929,31-07-2023
58,Kevin Anderson,1894,2181,31-07-2023
59,Roman Safiullin,1892,1940,31-07-2023
60,Alex Molcan,1887,1941,31-07-2023
61,Diego Sebastian Schwartzman,1881,2097,31-07-2023
62,Ilya Ivashka,1881,1987,31-07-2023
63,John Isner,1880,2147,31-07-2023
64,Mackenzie Mcdonald,1876,1944,31-07-2023
65,Arthur Fils,1876,1895,31-07-2023
66,Roberto Carballes Baena,1874,1886,31-07-2023
67,Gregoire Barrere,1873,1873,31-07-2023
68,Vasek Pospisil,1871,1987,31-07-2023
69,Aslan Karatsev,1871,1998,31-07-2023
70,Mikael Ymer,1871,1938,31-07-2023
71,Alexei Popyrin,1868,1916,31-07-2023
72,Brandon Nakashima,1864,1958,31-07-2023
73,Pedro Cachin,1862,1870,31-07-2023
74,Gilles Simon,1861,2124,31-07-2023
75,Jeremy Chardy,1860,2016,31-07-2023
76,David Goffin,1858,2165,31-07-2023
77,Ugo Humbert,1858,2002,31-07-2023
78,Dusan Lajovic,1855,1962,31-07-2023
79,Lloyd George Muirhead Harris,1852,1988,31-07-2023
80,Marcos Giron,1850,1934,31-07-2023
81,Sebastian Ofner,1849,1871,31-07-2023
82,Miomir Kecmanovic,1846,1977,31-07-2023
83,Daniel Evans,1844,2002,31-07-2023
84,Quentin Halys,1844,1844,31-07-2023
85,Jordan Thompson,1840,1908,31-07-2023
86,Corentin Moutet,1840,1921,31-07-2023
87,Jack Sock,1835,2144,31-07-2023
88,Fabio Fognini,1835,2112,31-07-2023
89,Taro Daniel,1834,1882,31-07-2023
90,Yibing Wu,1834,1850,31-07-2023
91,Juan Pablo Varillas Patino Samudio,1833,1845,31-07-2023
92,Richard Gasquet,1832,2196,31-07-2023
93,Christopher Oconnell,1832,1854,31-07-2023
94,Benjamin Bonzi,1830,1893,31-07-2023
95,Filip Krajinovic,1829,2033,31-07-2023
96,Alejandro Tabilo,1829,1834,31-07-2023
97,Filip Misolic,1828,1828,31-07-2023
98,Zhizhen Zhang,1827,1890,31-07-2023
99,Jason Kubler,1827,1880,31-07-2023
100,Jaume Munar,1826,1866,31-07-2023
101,Guido Pella,1826,2009,31-07-2023
102,Steve Johnson,1823,2042,31-07-2023
103,Jiri Vesely,1822,1952,31-07-2023
104,John Millman,1822,1954,31-07-2023
105,Bernabe Zapata Miralles,1816,1876,31-07-2023
106,Ricardas Berankis,1816,1914,31-07-2023
107,Liam Broady,1814,1822,31-07-2023
108,Daniel Altmaier,1813,1826,31-07-2023
109,Tim Van Rijthoven,1812,1870,31-07-2023
110,Dominik Koepfer,1811,1920,31-07-2023
111,Gijs Brouwer,1808,1844,31-07-2023
112,Matteo Arnaldi,1806,1889,31-07-2023
113,Dominic Stephan Stricker,1804,1873,31-07-2023
114,Aleksandar Vukic,1801,1828,31-07-2023
115,Michael Mmoh,1800,1866,31-07-2023
116,Marco Cecchinato,1799,1953,31-07-2023
117,Ryan Peniston,1798,1825,31-07-2023
118,Arthur Rinderknech,1798,1909,31-07-2023
119,Sebastian Baez,1795,1944,31-07-2023
120,Maximilian Marterer,1795,1888,31-07-2023
121,Yosuke Watanuki,1793,1819,31-07-2023
122,Alexandre Muller,1789,1814,31-07-2023
123,Damir Dzumhur,1787,1994,31-07-2023
124,Kamil Majchrzak,1787,1810,31-07-2023
125,Kyle Edmund,1787,2038,31-07-2023
126,Radu Albot,1785,1936,31-07-2023
127,Albert Ramos,1785,2014,31-07-2023
128,Tomas Machac,1784,1806,31-07-2023
129,Daniel Elahi Galan Riveros,1784,1871,31-07-2023
130,Pavel Kotov,1782,1849,31-07-2023
131,James Duckworth,1782,1887,31-07-2023
132,Alexander Shevchenko,1780,1841,31-07-2023
133,Rinky Hijikata,1780,1837,31-07-2023
134,Luca Van Assche,1778,1778,31-07-2023
135,Hugo Gaston,1777,1891,31-07-2023
136,Ben Shelton,1777,1989,31-07-2023
137,Maxime Cressy,1771,1928,31-07-2023
138,Federico Coria,1765,1839,31-07-2023
139,Thiago Seyboth Wild,1765,1804,31-07-2023
140,Nuno Borges,1764,1785,31-07-2023
141,Thiago Monteiro,1764,1846,31-07-2023
142,Federico Delbonis,1758,1953,31-07-2023
143,Andrea Vavassori,1755,1765,31-07-2023
144,Jozef Kovalik,1753,1806,31-07-2023
145,Pablo Andujar,1750,1929,31-07-2023
146,Peter Gojowczyk,1749,1935,31-07-2023
147,Aleksandar Kovacevic,1749,1769,31-07-2023
148,Denis Kudla,1748,1855,31-07-2023
149,Borna Gojo,1748,1856,31-07-2023
150,Nikoloz Basilashvili,1747,1990,31-07-2023
151,Elias Ymer,1737,1817,31-07-2023
152,Oscar Otte,1735,1917,31-07-2023
153,Dimitar Kuzmanov,1732,1733,31-07-2023
154,Juan Manuel Cerundolo,1732,1807,31-07-2023
155,Antoine Bellier,1731,1743,31-07-2023
156,Jurij Rodionov,1730,1790,31-07-2023
157,Giulio Zeppieri,1726,1726,31-07-2023
158,Hugo Grenier,1726,1753,31-07-2023
159,Flavio Cobolli,1726,1726,31-07-2023
160,Norbert Gombos,1723,1837,31-07-2023
161,Henri Laaksonen,1721,1852,31-07-2023
162,Joao Sousa,1719,1974,31-07-2023
163,Hamad Medjedovic,1719,1777,31-07-2023
164,Carlos Taberner,1716,1796,31-07-2023
165,Emilio Gomez,1714,1744,31-07-2023
166,Stefan Kozlov,1712,1764,31-07-2023
167,Mikhail Kukushkin,1711,1943,31-07-2023
168,Feliciano Lopez,1710,2074,31-07-2023
169,Marcelo Tomas Barrios Vera,1704,1704,31-07-2023
170,Constant Lestienne,1702,1833,31-07-2023
171,Pedro Martinez Portero,1700,1926,31-07-2023
172,Hugo Dellien,1693,1781,31-07-2023
173,Facundo Bagnis,1693,1804,31-07-2023
174,Marc Andrea Huesler,1688,1849,31-07-2023
175,Fernando Verdasco,1687,2204,31-07-2023
176,Max Purcell,1681,1834,31-07-2023
177,Zizou Bergs,1675,1675,31-07-2023
178,Emilio Nava,1674,1709,31-07-2023
179,Francesco Passaro,1671,1671,31-07-2023
180,Alexandar Lazarov,1620,1620,31-07-2023
181,Ramkumar Ramanathan,1609,1808,31-07-2023
182,Luca Nardi,1601,1619,31-07-2023
183,Benoit Paire,1567,2003,31-07-2023
184,Chun Hsin Tseng,1566,1660,31-07-2023
1,Novak Djokovic,2405,2629,24-07-2023
2,Carlos Alcaraz Garfia,2344,2344,24-07-2023
3,Rafael Nadal,2260,2552,24-07-2023
4,Daniil Medvedev,2241,2316,24-07-2023
5,Andrey Rublev,2168,2227,24-07-2023
6,Holger Vitus Nodskov Rune,2146,2146,24-07-2023
7,Jannik Sinner,2142,2256,24-07-2023
8,Nick Kyrgios,2137,2176,24-07-2023
9,Stefanos Tsitsipas,2135,2258,24-07-2023
10,Alexander Zverev,2125,2303,24-07-2023
11,Matteo Berrettini,2099,2173,24-07-2023
12,Karen Khachanov,2094,2137,24-07-2023
13,Casper Ruud,2090,2163,24-07-2023
14,Frances Tiafoe,2056,2068,24-07-2023
15,Taylor Fritz,2048,2134,24-07-2023
16,Grigor Dimitrov,2048,2203,24-07-2023
17,Hubert Hurkacz,2035,2099,24-07-2023
18,Sebastian Korda,2027,2071,24-07-2023
19,Marin Cilic,2026,2232,24-07-2023
20,Felix Auger Aliassime,2026,2140,24-07-2023
21,Alex De Minaur,2026,2083,24-07-2023
22,Cameron Norrie,2025,2105,24-07-2023
